Bank Names,
"INTESA SANPAOLO SPA, MILAN BRANCH",+39 011 8019200
STANDARD CHARTERED BANK,+971 600 5222 88
BOROUGE 4 L.L.C.,+971 2 7080000
"INDUSTRIAL BANK CO., LTD",0591-87839338
RAIZEN TRADING SA,+41 22 787 21 11
BANK OF CHINA LIMITED,+44 20 7282 8926
THE EXPORT-IMPORT BANK OF CHINA,+86 10 400-636-1616
GULF BANK (K.S.C.P),+965 22444383
BANCA MONTE DEI PASCHI DI SIENA S.P.A.,+39 0577 294111
IBM INTERNATIONAL TREASURY SERVICES UNLIMITED COMPANY,+353 (0)1 8154000
CREDIT SUISSE AG,+44 20 7888 8888
CITIBANK EUROPE PUBLIC LIMITED COMPANY,+353 1 622 2000
ARAB NATIONAL BANK,+966 11 212 7555 
QNB FINANSBANK ANONIM SIRKETI,+90 212 318 50 00
NATIONAL BANK OF EGYPT (S.A.E),+202 19623
"WELLS FARGO BANK, NATIONAL ASSOCIATION, SAN FRANCISCO BRANCH",+1 800 869 3557
RAIFFEISEN BANK INTERNATIONAL AG,+43 1 71707 0
ERSTE BANK OESTERREICH SPARKASSE AG,+43 5 0100 10100
VINCI CONSTRUCTION GRANDS PROJETS SAS,+33 1 47 16 35 00
EMIRATES NATIONAL BANK OF DUBAI SAE,+971 600 54 0000
IBC SUNDRY CUST DOC,
UNION 43 LEASING LIMITED,88-2-7168435
SINOPEC INTERNATIONAL PETROLEUM SERVICE CORPORATION,+86 10 5996 0028
BPER BANCA S.P.A.,+39 059 2021111
ARAB AFRICAN INTL BANK - EGYPT,+202 26733107
NATIONAL COMMERCIAL BANK SAUDI ARABIA,+966 920001000
BARWA BANK,+974 4448 8888
AGRICULTURAL BANK OF CHINA LIMITED,+86 10 8510 9610
NAMSHI HOLDING LIMITED,965 24751318
NATIONAL BANK OF OMAN SAOG,+968 24770000
